fold,best_auc,vocab_size,train_losses,val_aucs
1,0.9999924849363232,7104,"[0.022072499715968183, 0.016403662024490666, 0.01607901039288232, 0.015981755633321073, 0.015759650263826402, 0.015769220501925165, 0.016007469574871817, 0.01573843047654594, 0.0158010670174545]","[0.9998690231759196, 0.9999382691197982, 0.9999812123408081, 0.9999924849363232, 0.9999838962921213, 0.9999898009850101, 0.9999914113557979, 0.999991411355798, 0.9999844330823839]"
2,1.0,7212,"[0.023100849491549513, 0.016317917714821318, 0.016216023683504402, 0.01606950268955433, 0.01607691912710318, 0.015897675188617746, 0.015961025367703354, 0.015748528349730704, 0.015688383739376276, 0.01566140426115857]","[0.9999747537415493, 0.9999989256911297, 0.9999978513822595, 0.9999989256911297, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,0.9999065351282885,7134,"[0.029295912186740436, 0.02163047832028385, 0.017541454897986516, 0.016282023709507015, 0.0159229481734379, 0.015886957272451523, 0.015838433155103734, 0.015855513306127653, 0.015891942331752583]","[0.9990556825030537, 0.9995675906797259, 0.9998608770013031, 0.9999065351282885, 0.9992984763077294, 0.9992914933000726, 0.9992850474468511, 0.9993113680141721, 0.9993129794774775]"
4,0.9999967767063311,7142,"[0.032182181384741215, 0.018608118331179632, 0.01795765397558261, 0.016999001511269145, 0.016566598406660627, 0.016472267455350586, 0.016354143908192887, 0.016209912508159702, 0.016126697719619984, 0.016101774824946596, 0.016028366432857443, 0.015975595136004234, 0.01595931280709324, 0.015971485035199868, 0.015947635231093008, 0.01589968770045286, 0.015922894516186406, 0.01590757507133728, 0.015928635869327693, 0.015865672581246375, 0.015890634411738977, 0.015894522285905845, 0.015897640767806802]","[0.9992242606570146, 0.9996212629939025, 0.999830777082382, 0.9998377608853314, 0.9997539552499396, 0.9999382202046792, 0.9999704531413683, 0.9999376829890676, 0.9993091407236294, 0.9999849579628785, 0.9999897929033817, 0.9999854951784899, 0.9999715275725913, 0.9999924789814393, 0.9999951650594967, 0.9999930161970507, 0.9999951650594965, 0.9999967767063311, 0.9999962394907197, 0.9999967767063311, 0.9999967767063311, 0.9999940906282736, 0.9999957022751081]"
5,0.9999833463160439,7160,"[0.023114461370073912, 0.016743230840398207, 0.01625286061207802, 0.016099673314619135, 0.015848087353838816, 0.015774141419787852, 0.01577046841971184, 0.015768498781393147, 0.015752397368700183, 0.015737829555632077, 0.01575510196213485, 0.015731010940034835]","[0.999533159633619, 0.9990346235461602, 0.9999242525987805, 0.9999081361304359, 0.99994574122324, 0.9999672298476994, 0.9999833463160439, 0.999964543769642, 0.9999473528700744, 0.9998807381342503, 0.9999473528700744, 0.9999666926320879]"
